iter	Passed	Remaining
0	3	299
1	5	273
2	8	262
3	10	246
4	12	244
5	15	244
6	18	242
7	21	246
8	24	247
9	27	245
10	29	239
11	32	237
12	35	235
13	38	233
14	40	230
15	43	229
16	46	226
17	49	226
18	52	223
19	54	219
20	57	216
21	60	214
22	63	212
23	65	208
24	68	205
25	71	203
26	74	200
27	77	199
28	80	197
29	84	196
30	86	193
31	91	193
32	94	191
33	97	189
34	101	189
35	105	187
36	108	184
37	112	183
38	115	180
39	117	176
40	120	173
41	121	167
42	124	164
43	127	161
44	129	158
45	132	155
46	135	152
47	138	149
48	141	146
49	143	143
50	146	140
51	149	138
52	152	134
53	154	131
54	157	128
55	159	125
56	162	122
57	165	119
58	168	117
59	172	114
60	174	111
61	177	108
62	180	106
63	183	103
64	186	100
65	188	97
66	191	94
67	194	91
68	196	88
69	199	85
70	201	82
71	204	79
72	207	76
73	209	73
74	212	70
75	215	67
76	218	65
77	221	62
78	223	59
79	225	56
80	227	53
81	230	50
82	232	47
83	234	44
84	236	41
85	238	38
86	240	35
87	242	33
88	244	30
89	247	27
90	250	24
91	252	21
92	262	19
93	264	16
94	266	14
95	268	11
96	270	8
97	271	5
98	274	2
99	277	0
